node1	node2	cor_value
Enterococcus	Alistipes	0.396245312
Enterococcus	Parabacteroides	0.372597403
Enterococcus	Gemella	0.301117454
Enterococcus	Hungatella	0.317941067
Enterococcus	Eubacterium	0.420943479
Enterococcus	Mogibacterium	0.300778672
Enterococcus	Anaerobutyricum	0.461999754
Enterococcus	Anaerocolumna	0.364578704
Enterococcus	Anaerostipes	0.553810643
Enterococcus	Blautia	0.498572571
Enterococcus	Butyrivibrio	0.363702487
Enterococcus	Coprococcus	0.464360805
Enterococcus	Dorea	0.429688869
Enterococcus	Enterocloster	0.498637961
Enterococcus	Faecalicatena	0.470091612
Enterococcus	Lachnoclostridium	0.505165219
Enterococcus	Lachnospira	0.442216256
Enterococcus	Lacrimispora	0.386739349
Enterococcus	Mediterraneibacter	0.444136953
Enterococcus	Novisyntrophococcus	0.363203298
Enterococcus	Pseudobutyrivibrio	0.319757452
Enterococcus	Roseburia	0.399788561
Enterococcus	Sellimonas	0.374938577
Enterococcus	Anaerotruncus	0.32526447
Enterococcus	Dysosmobacter	0.394745722
Enterococcus	Faecalibacterium	0.362116744
Enterococcus	Flavonifractor	0.414746748
Enterococcus	Monoglobus	0.320688687
Enterococcus	Pusillibacter	0.318605469
Enterococcus	Ruminococcus	0.338822776
Enterococcus	Ruthenibacterium	0.40731568
Enterococcus	Vescimonas	0.329294881
Enterococcus	Intestinimonas	0.337623959
Enterococcus	Massilistercora	0.333458186
Enterococcus	Amedibacterium	0.301105608
Enterococcus	Erysipelatoclostridium	0.464745671
Enterococcus	Faecalibacillus	0.394029326
Enterococcus	Faecalitalea	0.329668719
Enterococcus	Phascolarctobacterium	0.364542479
Enterococcus	Dialister	0.3236885
Enterococcus	Parvimonas	0.38845226
Enterococcus	Fusobacterium	0.385403059
Enterococcus	Escherichia	0.343545083
Enterococcus	Akkermansia	0.382212048
Flavobacterium	Paenibacillus	0.30927001
Flavobacterium	Methanobrevibacter_A	0.346939023
Flavobacterium	Bacteroides	0.374305704
Flavobacterium	Odoribacter	0.345996508
Flavobacterium	Porphyromonas	0.335389857
Flavobacterium	Prevotella	0.385522625
Flavobacterium	Parabacteroides	0.30610132
Flavobacterium	Gemella	0.365185235
Flavobacterium	Anaerobutyricum	0.321967329
Flavobacterium	Anaerostipes	0.313264439
Flavobacterium	Blautia	0.305245024
Flavobacterium	Coprococcus	0.305798842
Flavobacterium	Enterocloster	0.33365021
Flavobacterium	Faecalicatena	0.343447136
Flavobacterium	Lachnoclostridium	0.323534959
Flavobacterium	Lacrimispora	0.343680787
Flavobacterium	Dysosmobacter	0.334583425
Flavobacterium	Flavonifractor	0.363077134
Flavobacterium	Ruthenibacterium	0.339360686
Flavobacterium	Intestinimonas	0.301584484
Flavobacterium	Faecalibacillus	0.337616734
Haemophilus	Neisseria	0.386922311
Haemophilus	Paenibacillus	0.300631361
Haemophilus	Streptococcus	0.541924935
Haemophilus	Methanobrevibacter_A	0.408188514
Haemophilus	Collinsella	0.340329336
Haemophilus	Bacteroides	0.354981445
Haemophilus	Phocaeicola	0.44146224
Haemophilus	Porphyromonas	0.309367848
Haemophilus	Prevotella	0.374572339
Haemophilus	Parabacteroides	0.321850963
Haemophilus	Gemella	0.373226912
Haemophilus	Granulicatella	0.383302744
Haemophilus	Anaerobutyricum	0.316880971
Haemophilus	Anaerostipes	0.355312951
Haemophilus	Blautia	0.404401406
Haemophilus	Coprococcus	0.428337038
Haemophilus	Dorea	0.352200088
Haemophilus	Enterocloster	0.312905913
Haemophilus	Faecalicatena	0.30815216
Haemophilus	Lachnoclostridium	0.351441436
Haemophilus	Lachnospira	0.310460536
Haemophilus	Mediterraneibacter	0.3683671
Haemophilus	Roseburia	0.368193044
Haemophilus	Dysosmobacter	0.319268397
Haemophilus	Faecalibacterium	0.409514309
Haemophilus	Flavonifractor	0.32493892
Haemophilus	Faecalibacillus	0.341818885
Haemophilus	Veillonella	0.420454015
Hymenobacter	Enterocloster	0.309550203
Hymenobacter	Lacrimispora	0.301715953
Klebsiella	Paracoccus	0.374133282
