Node	Type	Mean_counts
Caldicellulosiruptor	Bacteria|Firmicutes	
Thermoanaerobacterium	Bacteria|Firmicutes	
Allobaculum	Bacteria|Firmicutes	
Amedibacterium	Bacteria|Firmicutes	
Bulleidia	Bacteria|Firmicutes	
Erysipelatoclostridium	Bacteria|Firmicutes	
Erysipelothrix	Bacteria|Firmicutes	
Faecalibacillus	Bacteria|Firmicutes	
Faecalibaculum	Bacteria|Firmicutes	0.001
Faecalitalea	Bacteria|Firmicutes	
Intestinibaculum	Bacteria|Firmicutes	
Longicatena	Bacteria|Firmicutes	
Turicibacter	Bacteria|Firmicutes	
Acidaminococcus	Bacteria|Firmicutes	
Phascolarctobacterium	Bacteria|Firmicutes	
Megamonas	Bacteria|Firmicutes	
Selenomonas	Bacteria|Firmicutes	
Pelosinus	Bacteria|Firmicutes	
Dialister	Bacteria|Firmicutes	
Megasphaera	Bacteria|Firmicutes	
Veillonella	Bacteria|Firmicutes	
Ezakiella	Bacteria|Firmicutes	
Sedimentibacter	Bacteria|Firmicutes	0.001
Gottschalkia	Bacteria|Firmicutes	0.001
Anaerococcus	Bacteria|Firmicutes	
Finegoldia	Bacteria|Firmicutes	
Helcococcus	Bacteria|Firmicutes	
Murdochiella	Bacteria|Firmicutes	
Parvimonas	Bacteria|Firmicutes	
Peptoniphilus	Bacteria|Firmicutes	
Gudongella	Bacteria|Firmicutes	
Schnuerera	Bacteria|Firmicutes	
Tissierella	Bacteria|Firmicutes	0.001
Ndongobacter	Bacteria|Firmicutes	
Cetobacterium	Bacteria|Fusobacteria	0.001
Fusobacterium	Bacteria|Fusobacteria	
Leptotrichia	Bacteria|Fusobacteria	
Pseudoleptotrichia	Bacteria|Fusobacteria	0.001
Sebaldella	Bacteria|Fusobacteria	0.001
Sneathia	Bacteria|Fusobacteria	0.001
Streptobacillus	Bacteria|Fusobacteria	0.001
Melioribacter	Bacteria|Ignavibacteriae	0.001
Tuwongella	Bacteria|Planctomycetes	0.001
Urbifossiella	Bacteria|Planctomycetes	0.001
Tautonia	Bacteria|Planctomycetes	0.001
Botrimarina	Bacteria|Planctomycetes	0.001
Pirellulimonas	Bacteria|Planctomycetes	0.001
Caulifigura	Bacteria|Planctomycetes	0.001
Acuticoccus	Bacteria|Proteobacteria	0.001
Bosea	Bacteria|Proteobacteria	
Chelatococcus	Bacteria|Proteobacteria	0.001
Methylorubrum	Bacteria|Proteobacteria	
Kaustia	Bacteria|Proteobacteria	0.001
Phreatobacter	Bacteria|Proteobacteria	
Hartmannibacter	Bacteria|Proteobacteria	0.001
Georhizobium	Bacteria|Proteobacteria	0.001
Starkeya	Bacteria|Proteobacteria	0.001
Terrihabitans	Bacteria|Proteobacteria	0.001
Marinicauda	Bacteria|Proteobacteria	0.001
Cereibacter	Bacteria|Proteobacteria	0.001
Gymnodinialimonas	Bacteria|Proteobacteria	0.001
Pseudopuniceibacterium	Bacteria|Proteobacteria	0.001
Qingshengfaniella	Bacteria|Proteobacteria	0.001
Silicimonas	Bacteria|Proteobacteria	
Tabrizicola	Bacteria|Proteobacteria	0.001
Tritonibacter	Bacteria|Proteobacteria	0.001
Actibacterium	Bacteria|Proteobacteria	0.001
Antarctobacter	Bacteria|Proteobacteria	0.001
Maribius	Bacteria|Proteobacteria	0.001
Sagittula	Bacteria|Proteobacteria	0.001
Kozakia	Bacteria|Proteobacteria	0.001
Roseococcus	Bacteria|Proteobacteria	0.001
Nitrospirillum	Bacteria|Proteobacteria	0.001
Stella	Bacteria|Proteobacteria	0.001
Allosphingosinicella	Bacteria|Proteobacteria	0.001
Hankyongella	Bacteria|Proteobacteria	0.001
Castellaniella	Bacteria|Proteobacteria	0.001
Lautropia	Bacteria|Proteobacteria	0.001
Ralstonia	Bacteria|Proteobacteria	
Alicycliphilus	Bacteria|Proteobacteria	
Candidatus Symbiobacter	Bacteria|Proteobacteria	0.001
Comamonas	Bacteria|Proteobacteria	
Curvibacter	Bacteria|Proteobacteria	0.001
Diaphorobacter	Bacteria|Proteobacteria	
Melaminivora	Bacteria|Proteobacteria	0.001
Pulveribacter	Bacteria|Proteobacteria	0.001
Rhodoferax	Bacteria|Proteobacteria	
Serpentinimonas	Bacteria|Proteobacteria	0.001
Simplicispira	Bacteria|Proteobacteria	0.001
Duganella	Bacteria|Proteobacteria	0.001
Noviherbaspirillum	Bacteria|Proteobacteria	0.001
Sutterella	Bacteria|Proteobacteria	
Aquabacterium	Bacteria|Proteobacteria	0.001
Ideonella	Bacteria|Proteobacteria	0.001
Leptothrix	Bacteria|Proteobacteria	0.001
Methylibium	Bacteria|Proteobacteria	0.001
Mitsuaria	Bacteria|Proteobacteria	
Rhizobacter	Bacteria|Proteobacteria	
Rubrivivax	Bacteria|Proteobacteria	0.001
Sphaerotilus	Bacteria|Proteobacteria	0.001
Microvirgula	Bacteria|Proteobacteria	0.001
Eikenella	Bacteria|Proteobacteria	
Methylobacillus	Bacteria|Proteobacteria	0.001
