Node	Type	Mean_counts
Ruminiclostridium	Bacteria|Firmicutes	
Ruminococcus	Bacteria|Firmicutes	
Ruthenibacterium	Bacteria|Firmicutes	
Solibaculum	Bacteria|Firmicutes	
Vescimonas	Bacteria|Firmicutes	
Acetoanaerobium	Bacteria|Firmicutes	
Filifactor	Bacteria|Firmicutes	
Paeniclostridium	Bacteria|Firmicutes	
Peptacetobacter	Bacteria|Firmicutes	
Peptoclostridium	Bacteria|Firmicutes	
Romboutsia	Bacteria|Firmicutes	
Terrisporobacter	Bacteria|Firmicutes	
Alkalicella	Bacteria|Firmicutes	
Caloranaerobacter	Bacteria|Firmicutes	
Petrocella	Bacteria|Firmicutes	
Vallitalea	Bacteria|Firmicutes	
Flintibacter	Bacteria|Firmicutes	
Intestinimonas	Bacteria|Firmicutes	
Massilistercora	Bacteria|Firmicutes	
Halanaerobium	Bacteria|Firmicutes	
Iocasia	Bacteria|Firmicutes	
Acetohalobium	Bacteria|Firmicutes	
Anoxybacter	Bacteria|Firmicutes	
Thermacetogenium	Bacteria|Firmicutes	
Caldicellulosiruptor	Bacteria|Firmicutes	
Thermoanaerobacterium	Bacteria|Firmicutes	
Allobaculum	Bacteria|Firmicutes	
Amedibacterium	Bacteria|Firmicutes	
Bulleidia	Bacteria|Firmicutes	
Erysipelatoclostridium	Bacteria|Firmicutes	
Erysipelothrix	Bacteria|Firmicutes	
Faecalibacillus	Bacteria|Firmicutes	
Faecalibaculum	Bacteria|Firmicutes	
Faecalitalea	Bacteria|Firmicutes	
Intestinibaculum	Bacteria|Firmicutes	
Longicatena	Bacteria|Firmicutes	
Turicibacter	Bacteria|Firmicutes	
Acidaminococcus	Bacteria|Firmicutes	
Phascolarctobacterium	Bacteria|Firmicutes	
Megamonas	Bacteria|Firmicutes	
Selenomonas	Bacteria|Firmicutes	
Pelosinus	Bacteria|Firmicutes	0.001
Dialister	Bacteria|Firmicutes	
Megasphaera	Bacteria|Firmicutes	
Veillonella	Bacteria|Firmicutes	
Ezakiella	Bacteria|Firmicutes	
Sedimentibacter	Bacteria|Firmicutes	
Gottschalkia	Bacteria|Firmicutes	
Anaerococcus	Bacteria|Firmicutes	
Finegoldia	Bacteria|Firmicutes	
Helcococcus	Bacteria|Firmicutes	
Murdochiella	Bacteria|Firmicutes	
Parvimonas	Bacteria|Firmicutes	
Peptoniphilus	Bacteria|Firmicutes	
Gudongella	Bacteria|Firmicutes	
Schnuerera	Bacteria|Firmicutes	
Tissierella	Bacteria|Firmicutes	
Ndongobacter	Bacteria|Firmicutes	
Cetobacterium	Bacteria|Fusobacteria	
Fusobacterium	Bacteria|Fusobacteria	
Leptotrichia	Bacteria|Fusobacteria	
Pseudoleptotrichia	Bacteria|Fusobacteria	
Sebaldella	Bacteria|Fusobacteria	
Sneathia	Bacteria|Fusobacteria	
Streptobacillus	Bacteria|Fusobacteria	
Melioribacter	Bacteria|Ignavibacteriae	
Tuwongella	Bacteria|Planctomycetes	
Urbifossiella	Bacteria|Planctomycetes	
Tautonia	Bacteria|Planctomycetes	
Botrimarina	Bacteria|Planctomycetes	
Pirellulimonas	Bacteria|Planctomycetes	
Caulifigura	Bacteria|Planctomycetes	
Acuticoccus	Bacteria|Proteobacteria	
Bosea	Bacteria|Proteobacteria	
Chelatococcus	Bacteria|Proteobacteria	
Methylorubrum	Bacteria|Proteobacteria	
Kaustia	Bacteria|Proteobacteria	
Phreatobacter	Bacteria|Proteobacteria	
Hartmannibacter	Bacteria|Proteobacteria	
Georhizobium	Bacteria|Proteobacteria	
Starkeya	Bacteria|Proteobacteria	
Terrihabitans	Bacteria|Proteobacteria	
Marinicauda	Bacteria|Proteobacteria	
Cereibacter	Bacteria|Proteobacteria	
